index,eligible,ground_truth_eligible,witness_time_ms,generate_time_ms,verify_time_ms,verified,jurisdiction,jurisdiction_name,failed_flags
458,true,true,213,227,13,true,1,Karnataka,""
459,true,true,201,214,13,true,1,Karnataka,""
460,false,false,31,32,0,false,0,Delhi,"encumbrance_free;jurisdiction_mismatch"
461,true,true,212,227,15,true,2,Telangana,""
462,true,true,218,236,17,true,3,Maharashtra,""
463,true,true,211,225,13,true,7,Gujarat,""
464,false,false,31,32,0,false,6,Uttar_Pradesh,"mutation_complete;encumbrance_free;zoning_compliant;jurisdiction_eligible;jurisdiction_mismatch"
465,true,true,218,231,13,true,5,Chandigarh,""
466,true,true,193,205,12,true,1,Karnataka,""
467,true,true,225,241,15,true,7,Gujarat,""
468,true,true,221,234,13,true,6,Uttar_Pradesh,""
469,false,false,33,33,0,false,2,Telangana,"title_valid;mutation_complete;zoning_compliant;jurisdiction_mismatch"
470,true,true,225,239,14,true,4,Rajasthan,""
471,true,true,207,220,13,true,0,Delhi,""
472,true,true,230,247,16,true,3,Maharashtra,""
473,false,false,35,35,0,false,4,Rajasthan,"jurisdiction_eligible;jurisdiction_mismatch"
474,true,true,248,268,19,true,0,Delhi,""
475,true,true,224,239,14,true,5,Chandigarh,""
476,true,true,204,220,15,true,4,Rajasthan,""
477,true,true,191,205,13,true,7,Gujarat,""
478,true,true,202,216,14,true,4,Rajasthan,""
479,false,false,29,30,0,false,2,Telangana,"mutation_complete;jurisdiction_mismatch"
480,true,true,194,208,13,true,7,Gujarat,""
481,true,true,247,263,15,true,0,Delhi,""
482,false,false,31,32,0,false,6,Uttar_Pradesh,"kyc_pass;registry_verified;mutation_complete;jurisdiction_mismatch"
483,true,true,209,223,13,true,2,Telangana,""
484,true,true,211,225,14,true,0,Delhi,""
485,true,true,192,206,14,true,0,Delhi,""
486,false,false,33,33,0,false,4,Rajasthan,"registry_verified;jurisdiction_mismatch"
487,true,true,237,253,15,true,4,Rajasthan,""
488,true,true,221,236,14,true,1,Karnataka,""
489,false,false,29,30,0,false,1,Karnataka,"kyc_pass;title_valid;tax_paid;jurisdiction_mismatch"
490,true,true,238,253,14,true,2,Telangana,""
491,true,true,213,227,13,true,0,Delhi,""
492,true,true,238,254,15,true,6,Uttar_Pradesh,""
493,true,true,196,210,13,true,6,Uttar_Pradesh,""
494,true,true,204,219,15,true,3,Maharashtra,""
495,false,false,35,36,0,false,4,Rajasthan,"mutation_complete;encumbrance_free;jurisdiction_mismatch"
496,true,true,204,220,15,true,5,Chandigarh,""
497,true,true,212,226,13,true,5,Chandigarh,""
498,true,true,232,248,15,true,6,Uttar_Pradesh,""
499,true,true,212,228,15,true,4,Rajasthan,""
500,true,true,228,242,13,true,6,Uttar_Pradesh,""
501,true,true,223,238,15,true,1,Karnataka,""
502,false,false,39,40,0,false,0,Delhi,"kyc_pass;registry_verified;tax_paid;jurisdiction_eligible;jurisdiction_mismatch"
503,false,false,40,41,0,false,1,Karnataka,"kyc_pass;registry_verified;jurisdiction_mismatch"
504,true,true,221,236,14,true,1,Karnataka,""
505,true,true,205,219,14,true,2,Telangana,""
506,false,false,28,29,0,false,6,Uttar_Pradesh,"registry_verified;mutation_complete;tax_paid;jurisdiction_mismatch"
507,true,true,233,247,13,true,0,Delhi,""
508,false,false,32,32,0,false,4,Rajasthan,"kyc_pass;zoning_compliant;jurisdiction_eligible;jurisdiction_mismatch"
509,true,true,209,223,13,true,5,Chandigarh,""
510,false,false,28,29,0,false,6,Uttar_Pradesh,"mutation_complete;jurisdiction_mismatch"
511,true,true,207,223,15,true,7,Gujarat,""
512,true,true,218,232,13,true,3,Maharashtra,""
513,true,true,227,241,13,true,5,Chandigarh,""
514,false,false,28,29,0,false,1,Karnataka,"mutation_complete;jurisdiction_mismatch"
515,true,true,221,238,16,true,0,Delhi,""
516,false,false,27,27,0,false,7,Gujarat,"kyc_pass;registry_verified;jurisdiction_eligible;jurisdiction_mismatch"
517,false,false,37,38,0,false,3,Maharashtra,"mutation_complete;jurisdiction_mismatch"
518,false,false,44,44,0,false,3,Maharashtra,"tax_paid;zoning_compliant;jurisdiction_mismatch"
519,true,true,199,211,12,true,7,Gujarat,""
520,true,true,216,231,14,true,1,Karnataka,""
521,false,false,29,29,0,false,2,Telangana,"encumbrance_free;tax_paid;zoning_compliant;jurisdiction_mismatch"
522,false,false,34,35,0,false,5,Chandigarh,"jurisdiction_eligible;jurisdiction_mismatch"
523,false,false,33,34,0,false,5,Chandigarh,"kyc_pass;title_valid;registry_verified;encumbrance_free;jurisdiction_mismatch"
524,true,true,204,217,12,true,1,Karnataka,""
525,false,false,34,35,0,false,6,Uttar_Pradesh,"kyc_pass;mutation_complete;encumbrance_free;jurisdiction_mismatch"
526,false,false,34,34,0,false,5,Chandigarh,"kyc_pass;title_valid;encumbrance_free;jurisdiction_eligible;jurisdiction_mismatch"
527,false,false,34,35,0,false,6,Uttar_Pradesh,"title_valid;zoning_compliant;jurisdiction_mismatch"
528,false,false,35,36,0,false,5,Chandigarh,"kyc_pass;title_valid;mutation_complete;zoning_compliant;jurisdiction_mismatch"
529,true,true,202,217,14,true,0,Delhi,""
530,true,true,236,251,14,true,3,Maharashtra,""
531,true,true,192,206,14,true,2,Telangana,""
